model,frequency_Hz,Omega,inertial_to_elastic,D_viscous_to_elastic,w_amplitude_um,dynamic_compliance_uL_per_mmHg,phase_lag_deg,hysteresis_J_per_cycle,wall_loss_fraction,radiation_loss_fraction,nonlinearity_index,THD,third_to_fundamental,linear_exact_amplitude_um,linear_exact_phase_deg
linear,1.66810053720006,0.000425441790427861,1.81000717042464e-07,0.0696923315432847,20.870750253762,0.209815666150803,-3.98664021564994,2.4438383214703e-06,0.997300384574371,0.00269961542562863,0,2.3280209638857e-16,3.8248057286322e-17,20.8706789613252,-3.98663113701034
linear,1.89573565240638,0.000483499136983354,2.33771415463648e-07,0.0792028026246508,20.8560610786986,0.20966799445651,-4.52854417303243,2.77343231947057e-06,0.997300384574371,0.00269961542562862,0,1.02819279128436e-16,1.73038532003615e-17,20.855989903162,-4.52853387000602
linear,2.15443469003188,0.000549479201910437,3.0192739333213e-07,0.0900111074588356,20.8371350968426,0.209477729734716,-5.14340908664278,3.14624500783712e-06,0.997300384574371,0.00269961542562863,0,2.96376949037651e-16,7.38583027816488e-17,20.8370640717162,-5.14339739886796
linear,2.44843674682223,0.000624463148405837,3.8995422371693e-07,0.102294353198108,20.8127673255689,0.209232758178819,-5.84073407043741,3.5672351463636e-06,0.997300384574371,0.00269961542562863,0,2.33942396384942e-16,5.22853942977076e-17,20.812696493756,-5.84072081875327
linear,2.78255940220712,0.00070967967916007,5.0364524701274e-07,0.116253815686078,20.781421282196,0.208917633380165,-6.63110528642085,4.04178021408347e-06,0.997300384574371,0.00269961542562863,0,1.79357061515387e-16,1.05789031559399e-16,20.7813506984871,-6.63109027169116
linear,3.16227766016838,0.000806525170137698,6.50482850065643e-07,0.13211823760593,20.7411451171566,0.208512733206717,-7.52625055833084,4.57560632174853e-06,0.997300384574371,0.00269961542562863,0,1.72814001739422e-16,6.4811260925476e-17,20.7410748512951,-7.5262335607112
linear,3.59381366380463,0.000916586551887059,8.40130907100208e-07,0.150147576706056,20.6894713278855,0.207993251617093,-8.53906117964183,5.17408221184483e-06,0.997300384574371,0.00269961542562863,0,1.99950577654785e-16,5.10534336326199e-17,20.6894014682753,-8.53904195859326
linear,4.08423865267452,0.00104166731331742,1.08507079163392e-06,0.170637265522296,20.6233000764786,0.207328025641737,-9.68356063748357,5.84266013366393e-06,0.997300384574371,0.00269961542562863,0,1.7854656671706e-16,2.10816084020354e-17,20.6232307345707,-9.68353893295889
linear,4.64158883361278,0.00118381705404688,1.40142281745223e-06,0.193923052397503,20.5387687627869,0.206478224188642,-10.9747922801919,6.5856009252126e-06,0.997300384574371,0.00269961542562862,0,2.00963389111659e-16,3.55428590751741e-17,20.5387000781118,-10.9747678155722
linear,5.27499706370262,0.00134536506957206,1.81000717042464e-06,0.220386503124377,20.4311150396484,0.205395970922264,-12.4285887790314,7.40609526856098e-06,0.997300384574371,0.00269961542562863,0,7.18378429123893e-16,1.23303855409793e-16,20.4310471966396,-12.4285612711489
linear,5.99484250318941,0.00152895851959315,2.33771415463648e-06,0.250461253362659,20.2945477781766,0.204023047065109,-14.0611764747393,8.30461925126805e-06,0.997300384574371,0.00269961542562863,0,2.23220605898328e-16,8.14226244114047e-17,20.2944809665705,-14.0611456243993
linear,6.81292069057961,0.00173760580492852,3.0192739333213e-06,0.284640114284091,20.1221507668259,0.202289923275157,-15.888559240309,9.27823401023885e-06,0.997300384574371,0.00269961542562863,0,4.2678956565045e-16,9.72702272218452e-17,20.1220852545788,-15.8885247731201
linear,7.74263682681127,0.00197472586380219,3.8995422371693e-06,0.32348314787975,19.9058586159536,0.200115517412086,-17.9256239310532,1.03189120356656e-05,0.997300384574371,0.00269961542562862,0,4.23065655250788e-16,2.34457970460192e-16,19.9057947074336,-17.9255855978727
linear,8.79922543569107,0.00224420419528335,5.0364524701274e-06,0.367626844253416,19.6365596760906,0.197408229184589,-20.1849185503483,1.14118674673535e-05,0.997300384574371,0.00269961542562863,0,2.35129343872258e-16,5.39645734611691e-17,19.6364977235994,-20.1848761567871
linear,10,0.00255045652788994,6.50482850065643e-06,0.417794551282051,19.3043953719117,0.19406894938365,-22.675085433939,1.25341705186328e-05,0.997300384574371,0.00269961542562863,0,2.49026650559817e-16,1.22976176832283e-16,19.3043357707016,-22.6750388712849
linear,11.3646366638572,0.00289850117664321,8.40130907100207e-06,0.474808327545978,18.8993283285636,0.189996771311349,-25.3989943260925,1.3653106769005e-05,0.997300384574371,0.00269961542562863,0,1.82370146437449e-16,1.23026613355087e-16,18.899271504533,-25.3989436066499
linear,12.9154966501488,0.00329404127423128,1.08507079163392e-05,0.539602412753377,18.4120314295036,0.185097928565097,-28.3517207951832,1.47264381399531e-05,0.997300384574371,0.00269961542562863,0,2.30073091038314e-16,1.34184391092448e-16,18.4119778179279,-28.3516660883206
linear,14.6779926762207,0.00374355822373879,1.40142281745223e-05,0.613238536388286,17.835091954166,0.17929790034978,-31.5186464808196,1.57036484183423e-05,0.997300384574371,0.00269961542562862,0,3.14784299280132e-16,6.30348938628128e-17,17.835041969271,-31.518588143553
linear,16.6810053720006,0.00425441790427861,1.81000717042464e-05,0.696923315432847,17.164423457356,0.172555605237549,-34.8740875717255,1.65296574658775e-05,0.997300384574371,0.00269961542562863,0,2.76373417122736e-16,5.41172146452612e-17,17.1643774550612,-34.8740261656708
linear,18.9573565240638,0.00483499136983354,2.33771415463648e-05,0.792028026246508,16.4006495050221,0.164877311997051,-38.3809263338344,1.71507163680381e-05,0.997300384574371,0.00269961542562862,0,2.60246830003385e-16,2.15601719161203e-16,16.4006077442798,-38.380862620145
linear,21.5443469003188,0.00549479201910437,3.01927393332131e-05,0.900111074588356,15.5501165763447,0.15632682239587,-41.9916536801212,1.7522005927712e-05,0.997300384574371,0.00269961542562863,0,3.33473963624522e-16,1.13501142981035e-16,15.5500791869761,-41.9915885867844
linear,24.4843674682223,0.00624463148405837,3.8995422371693e-05,1.02294353198108,14.625179294723,0.147028338655153,-45.650983535186,1.76146686454651e-05,0.997300384574371,0.00269961542562862,0,2.28073771683955e-16,1.47595926020598e-16,14.6251462599059,-45.6509180970264
linear,27.8255940220713,0.0070967967916007,5.03645247012741e-05,1.16253815686078,13.6435324518938,0.137159748223627,-49.2998077779555,1.74213293864437e-05,0.997300384574371,0.00269961542562863,0,3.01654305201453e-16,8.06721765643312e-17,13.6435036105518,-49.2997430573025
linear,31.6227766016838,0.00806525170137698,6.50482850065643e-05,1.3211823760593,12.6266240308532,0.1269366697439,-52.8798586412788,1.69573384963149e-05,0.997300384574371,0.00269961542562863,0,1.55437796421542e-15,6.77250074423053e-16,12.6265990998023,-52.8797956434293
linear,35.9381366380463,0.00916586551887059,8.40130907100207e-05,1.50147576706056,11.5974688490525,0.116590473396544,-56.3382130319666,1.62579272582106e-05,0.997300384574371,0.00269961542562863,0,3.76266743996923e-14,1.71686622798096e-14,11.5974474591839,-56.3381526313341
